Code	Lat	Long	Tax
BAZ	-0.96694	-62.9336	
BBA	-45.9167	-71.695	
BBB	45.33194	-95.6506	
BBC	28.98333	-95.9667	
BBD	31.13333	-99.3333	
BBF	42.5	-71.1833	
BBG	3.166667	172.75	
BBH	54.33965	12.71263	
BBI	20.2523	85.81348	1
BBJ	49.94617	6.565967	
BBK	-17.8305	25.16437	
BBL	27.40833	141.8083	
BBM	13.09566	103.2269	
BBN	3.683333	115.4667	
BBO	10.41944	45.00639	
BBP	50.6791	-1.10975	
BBQ	17.55556	-61.765	
BBR	16.01392	-61.7433	
BBS	51.32281	-0.84054	
BBT	4.222822	15.78602	
BBU	44.50029	26.09023	
BBV	4.666667	-6.95	
BBW	41.4	-99.6333	
BBX	40.13667	-75.2675	
BBY	5.84805	20.64708	
BBZ	-13.5365	23.10703	
BCA	20.35	-74.5	
BCB	37.20922	-80.412	
BCC	63.57167	-156.144	
BCD	10.64482	122.9336	
BCE	37.70752	-112.15	
BCF	6.75	18.41667	
BCG	6.55	-58.55	
BCH	-8.49167	126.3997	
BCI	-23.5655	145.3021	
BCJ	39	-106	
BCK	-17.3883	144.169	
BCL	10.83333	-82.9667	
BCM	46.59861	26.88195	
BCN	41.29694	2.079047	
BCO	5.783333	36.55	
BCP	-5.85	146.4833	
BCQ	27.68333	14.21667	
BCR	-8.75	-67.3833	
BCS	29.96667	-90	
BCT	26.35	-80.0833	
BCU	10.36667	9.8	
BCV	17.26921	-88.7755	
BCW	-21.8847	35.425	
BCX	53.93333	58.33333	
BCY	6.216667	36.66667	
BCZ	-13.7833	137.8	
BDA	32.36162	-64.6658	
BDB	-24.9035	152.3197	
BDC	-5.46667	-45.2667	
BDD	-10.149	142.1731	
BDE	48.72327	-94.6045	
BDF	41.18333	-89.65	
BDG	37.58147	-109.48	
BDH	26.53299	54.82976	
BDI	-3.72426	55.20524	
BDJ	-3.44029	114.7565	
BDK	8.015165	-2.76327	
BDL	41.94058	-72.685	
BDM	40.31776	27.98139	
BDN	24.63333	68.9	
BDO	-6.89952	107.576	
BDP	26.57077	88.07832	
BDQ	22.33682	73.22707	
BDR	41.16271	-73.1262	
BDS	40.66161	17.94858	
BDT	4.083333	22.45	
BDU	69.05483	18.54067	
BDV	-7	29.8	
BDW	-17.2873	127.4641	
BDX	45.46667	-105.367	
BDY	43.11667	-124.417	
BDZ	-6.34697	146.9419	
BEA	-8.65	146.4833	
BEB	57.48078	-7.36527	
BEC	37.68333	-97.3333	
BED	42.46795	-71.2844	
BEE	-16.9667	122.6667	
BEF	11.99105	-83.7737	
BEG	44.81827	20.30237	
BEH	42.12778	-86.4283	
BEI	9.390965	34.51958	
BEJ	2.166667	117.7	
BEK	26.21667	81.23333	
BEL	-1.37986	-48.4796	
BEM	32.40256	-6.31577	
BEN	32.10113	20.27333	
BEO	-33.0333	151.6667	
BEP	15.1622	76.88153	
BEQ	52.3429	0.770809	
BER	52.39769	13.53678	
BES	48.44284	-4.41976	
BET	60.78043	-161.84	
BEU	-24.23	139.445	
BEV	31.25	34.8	
BEW	-19.7974	34.91058	
BEX	51.63333	-1.08333	
BEY	33.81807	35.49081	
BEZ	-1.35472	176.007	
BFA	-20.2311	-58.1706	
BFB	58.18333	-152.133	
BFC	-15.8736	145.33	
BFD	41.80222	-78.6394	
BFE	52.01667	8.55	
BFF	41.87686	-103.595	
BFG	37.54582	-110.713	
BFH	-25.4048	-49.2317	
BFI	47.5371	-122.304	
BFJ	27.30028	105.3014	
BFK	39.73333	-104.867	
BFL	35.43727	-119.059	
BFM	30.68333	-88.2333	
BFN	-29.0922	26.29668	
BFO	-21.0092	31.57917	
BFP	40.76667	-80.4	
BFQ	7.583333	-78.1667	
BFR	38.86667	-86.4833	
BFS	54.66165	-6.21617	
BFT	32.41083	-80.635	
BFU	32.95	117.3333	
BFV	15.22516	103.2478	
BFW	35.17167	-0.58944	
BFX	5.483333	10.4	
BFY	33.166	117.057	
BGA	7.126652	-73.183	
BGB	-0.10722	11.94279	
BGC	41.81667	-6.75	
BGD	35.68877	-101.394	
BGE	30.91667	-84.5833	
BGF	4.396111	18.52028	
BGG	38.8606	40.59244	
BGH	16.63333	-14.2	
BGI	13.07728	-59.4879	
BGJ	66	-14.5	
BGK	16.52013	-88.4099	
BGL	28.21279	83.66563	
BGM	42.21065	-75.9816	
BGN	68.53806	146.1858	
BGO	60.2962	5.219901	
BGP	-1.65	13.43333	
BGQ	61.53528	-149.812	
BGR	44.80726	-68.8194	
BGS	32.38556	-101.483	
BGT	34.59325	-113.173	
BGU	4.785947	22.78015	
BGV	-29.1667	-51.5167	
BGW	33.26382	44.23279	
BGX	-31.391	-54.1128	
BGY	45.67096	9.698763	
BGZ	41.55	-8.43333	
BHA	-0.6	-80.4167	
BHB	44.44889	-68.3617	
BHC	33.925	73.43333	
BHD	54.62033	-5.86982	
BHE	-41.5173	173.8694	
BHF	6.694075	-77.4947	
BHG	15.73579	-84.5429	
BHH	19.99451	42.61848	
BHI	-38.7306	-62.1506	
BHJ	23.27569	69.66375	
BHK	39.77496	64.48141	
BHL	28.95	-113.55	
BHM	33.56351	-86.7515	
BHN	14.782	45.7201	
BHO	23.28476	77.34177	
BHP	27.14732	87.05144	
BHQ	-32.0063	141.4709	
BHR	27.67691	84.4289	
BHS	-33.4139	149.6552	
BHT	-23.3685	141.5791	
BHU	21.75282	72.18698	
BHV	29.4	71.68333	
BHW	32.0561	72.9484	
BHX	52.45252	-1.73326	
BHY	21.53918	109.2917	
BIA	42.55467	9.481947	
BIB	3.103531	43.63119	
BIC	47.32557	-3.19965	
BID	41.16824	-71.5775	
BIE	40.29962	-96.7493	
BIF	31.75	-106.483	
BIG	64.06778	-145.733	
BIH	37.37333	-118.365	
BII	11.5225	165.565	
BIJ	-5.58333	146.2	
BIK	-1.18847	136.1067	
BIL	45.80923	-108.548	
BIM	25.7	-79.2833	
BIN	34.80937	67.81759	
BIO	43.30172	-2.91913	
BIP	-16.15	143.75	
BIQ	43.47242	-1.53124	
BIR	26.43472	87.28333	
BIS	46.77326	-100.747	
BIT	29	80.5	
BIU	65.83334	-23.9833	
BIV	6.52778	21.9894	
BIW	-19.5667	127.1667	
BIX	30.40943	-88.9189	
BIY	-32.8979	27.27946	
BIZ	-5.28938	142.0141	
BJA	36.71292	5.073719	
BJB	37.49079	57.30289	
BJC	39.91215	-105.107	
BJD	66.06667	-14.75	
BJE	11.19958	28.52257	
BJF	70.59939	29.68848	
BJG	-0.95	122.1	
BJH	29.55	81.25	
BJI	47.51011	-94.9298	
BJJ	40.8	-81.9333	
